ensembl,name
ENSG00000180210,F2
ENSG00000156599,ZDHHC5
ENSG00000196374,HIST1H2BM
ENSG00000149929,HIRIP3
ENSG00000103723,AP3B2
ENSG00000243232,PCDHAC2
ENSG00000140623,SEPT12
ENSG00000204267,TAP2
ENSG00000243649,CFB
ENSG00000137601,NEK1
ENSG00000189339,SLC35E2B
ENSG00000153406,NMRAL1
ENSG00000166169,POLL
ENSG00000197846,HIST1H2BF
ENSG00000111229,ARPC3
ENSG00000071553,ATP6AP1
ENSG00000130921,C12orf65
ENSG00000269795,
ENSG00000060688,SNRNP40
ENSG00000064547,LPAR2
ENSG00000136383,ALPK3
ENSG00000100890,KIAA0391
ENSG00000164086,DUSP7
ENSG00000154447,SH3RF1
ENSG00000204264,PSMB8
ENSG00000100162,CENPM
ENSG00000162971,TYW5
ENSG00000101445,PPP1R16B
ENSG00000204420,C6orf25
ENSG00000112394,SLC16A10
ENSG00000048828,FAM120A
ENSG00000116329,OPRD1
ENSG00000204713,TRIM27
ENSG00000054116,TRAPPC3
ENSG00000187626,ZKSCAN4
ENSG00000182774,RPS17L
ENSG00000226979,LTA
ENSG00000204655,MOG
ENSG00000198576,ARC
ENSG00000179344,HLA-DQB1
ENSG00000117335,CD46
ENSG00000167136,ENDOG
ENSG00000204366,ZBTB12
ENSG00000023902,PLEKHO1
ENSG00000203813,HIST1H3H
ENSG00000155975,VPS37A
ENSG00000181191,PJA1
ENSG00000148795,CYP17A1
ENSG00000256053,APOPT1
ENSG00000140564,FURIN
ENSG00000164091,WDR82
ENSG00000213676,ATF6B
ENSG00000152127,MGAT5
ENSG00000100372,SLC25A17
ENSG00000055955,ITIH4
ENSG00000055957,ITIH1
ENSG00000164181,ELOVL7
ENSG00000124508,BTN2A2
ENSG00000044115,CTNNA1
ENSG00000247626,MARS2
ENSG00000112812,PRSS16
ENSG00000204438,GPANK1
ENSG00000005483,KMT2E
ENSG00000204351,SKIV2L
ENSG00000169684,CHRNA5
ENSG00000196092,PAX5
ENSG00000117360,PRPF3
ENSG00000179912,R3HDM2
ENSG00000198561,CTNND1
ENSG00000100403,ZC3H7B
ENSG00000111325,OGFOD2
ENSG00000151164,RAD9B
ENSG00000019102,VSIG2
ENSG00000227507,LTB
ENSG00000075413,MARK3
ENSG00000258674,
ENSG00000256500,
ENSG00000228727,SAPCD1
ENSG00000136928,GABBR2
ENSG00000243696,
ENSG00000268367,
ENSG00000100335,MIEF1
ENSG00000188725,SMIM15
ENSG00000240053,LY6G5B
ENSG00000151090,THRB
ENSG00000138107,ACTR1A
ENSG00000126214,KLC1
ENSG00000204344,STK19
ENSG00000120733,KDM3B
ENSG00000198911,SREBF2
ENSG00000111801,BTN3A3
ENSG00000182810,DDX28
ENSG00000167261,DPEP2
ENSG00000103066,PLA2G15
ENSG00000184588,PDE4B
ENSG00000142197,DOPEY2
ENSG00000244255,
ENSG00000143382,ADAMTSL4
ENSG00000198339,HIST1H4I
ENSG00000137288,UQCC2
ENSG00000213719,CLIC1
ENSG00000204498,NFKBIL1
ENSG00000204296,C6orf10
ENSG00000168242,HIST1H2BI
ENSG00000115524,SF3B1
ENSG00000198518,HIST1H4E
ENSG00000112855,HARS2
ENSG00000196126,HLA-DRB1
ENSG00000169306,IL1RAPL1
ENSG00000100418,DESI1
ENSG00000204520,MICA
ENSG00000225996,
ENSG00000198502,HLA-DRB5
ENSG00000100197,CYP2D6
ENSG00000173273,TNKS
ENSG00000268412,
ENSG00000198558,HIST1H4L
ENSG00000204469,PRRC2A
ENSG00000254732,
ENSG00000262246,CORO7
ENSG00000110497,AMBRA1
ENSG00000241058,NSUN6
ENSG00000248993,
ENSG00000136381,IREB2
ENSG00000102886,GDPD3
ENSG00000204248,COL11A2
ENSG00000149527,PLCH2
ENSG00000257040,
ENSG00000137185,ZSCAN9
ENSG00000100395,L3MBTL2
ENSG00000126215,XRCC3
ENSG00000205359,SLCO6A1
ENSG00000213780,GTF2H4
ENSG00000111231,GPN3
ENSG00000156103,MMP16
ENSG00000105926,MPP6
ENSG00000175213,ZNF408
ENSG00000196226,HIST1H2BB
ENSG00000204256,BRD2
ENSG00000173338,KCNK7
ENSG00000103037,SETD6
ENSG00000131503,ANKHD1
ENSG00000112514,CUTA
ENSG00000114416,FXR1
ENSG00000112473,SLC39A7
ENSG00000206503,HLA-A
ENSG00000182858,ALG12
ENSG00000124564,SLC17A3
ENSG00000176371,ZSCAN2
ENSG00000077782,FGFR1
ENSG00000015520,NPC1L1
ENSG00000119866,BCL11A
ENSG00000100399,CHADL
ENSG00000137338,PGBD1
ENSG00000114904,NEK4
ENSG00000126464,PRR12
ENSG00000070366,SMG6
ENSG00000168298,HIST1H1E
ENSG00000140538,NTRK3
ENSG00000147403,RPL10
ENSG00000115138,POMC
ENSG00000197061,HIST1H4C
ENSG00000185633,NDUFA4L2
ENSG00000142949,PTPRF
ENSG00000100664,EIF5
ENSG00000100393,EP300
ENSG00000135185,TMEM243
ENSG00000204301,NOTCH4
ENSG00000177096,FAM109B
ENSG00000108641,B9D1
ENSG00000235109,ZSCAN31
ENSG00000100207,TCF20
ENSG00000232040,SCAND3
ENSG00000185046,ANKS1B
ENSG00000213465,ARL2
ENSG00000072736,NFATC3
ENSG00000204463,BAG6
ENSG00000182732,RGS6
ENSG00000254996,ANKHD1-EIF4EBP3
ENSG00000167194,C16orf92
ENSG00000141034,GID4
ENSG00000138175,ARL3
ENSG00000130449,ZSWIM6
ENSG00000204257,HLA-DMA
ENSG00000041357,PSMA4
ENSG00000056972,TRAF3IP2
ENSG00000072310,SREBF1
ENSG00000180573,HIST1H2AC
ENSG00000188641,DPYD
ENSG00000150977,RILPL2
ENSG00000251664,PCDHA12
ENSG00000184445,KNTC1
ENSG00000128482,RNF112
ENSG00000002822,MAD1L1
ENSG00000144035,NAT8
ENSG00000113013,HSPA9
ENSG00000173366,
ENSG00000152430,BOLL
ENSG00000163930,BAP1
ENSG00000196812,ZSCAN16
ENSG00000196866,HIST1H2AD
ENSG00000163935,SFMBT1
ENSG00000204387,C6orf48
ENSG00000143437,ARNT
ENSG00000177082,WDR73
ENSG00000114902,SPCS1
ENSG00000204188,GGNBP1
ENSG00000138821,SLC39A8
ENSG00000114861,FOXP1
ENSG00000101442,ACTR5
ENSG00000115520,COQ10B
ENSG00000133059,DSTYK
ENSG00000110492,MDK
ENSG00000096433,ITPR3
ENSG00000141096,DPEP3
ENSG00000189152,GRAPL
ENSG00000247596,TWF2
ENSG00000079691,LRRC16A
ENSG00000204542,C6orf15
ENSG00000184304,PRKD1
ENSG00000170571,EMB
ENSG00000135631,RAB11FIP5
ENSG00000112337,SLC17A2
ENSG00000101546,RBFA
ENSG00000176340,COX8A
ENSG00000125531,C20orf195
ENSG00000164088,PPM1M
ENSG00000171097,CCBL1
ENSG00000006634,DBF4
ENSG00000119042,SATB2
ENSG00000183117,CSMD1
ENSG00000204540,PSORS1C1
ENSG00000221988,PPT2
ENSG00000204701,OR2J3
ENSG00000089639,GMIP
ENSG00000173421,CCDC36
ENSG00000073711,PPP2R3A
ENSG00000115540,MOB4
ENSG00000224997,
ENSG00000224420,ADM5
ENSG00000189134,NKAPL
ENSG00000187051,RPS19BP1
ENSG00000124613,ZNF391
ENSG00000137312,FLOT1
ENSG00000213760,ATP6V1G2
ENSG00000203879,GDI1
ENSG00000166484,MAPK7
ENSG00000196547,MAN2A2
ENSG00000178922,HYI
ENSG00000180929,GPR62
ENSG00000163357,DCST1
ENSG00000158373,HIST1H2BD
ENSG00000183454,GRIN2A
ENSG00000204681,GABBR1
ENSG00000164182,NDUFAF2
ENSG00000102125,TAZ
ENSG00000184206,GOLGA6L4
ENSG00000124557,BTN1A1
ENSG00000205220,PSMB10
ENSG00000081842,PCDHA6
ENSG00000112343,TRIM38
ENSG00000188266,HYKK
ENSG00000204209,DAXX
ENSG00000161904,LEMD2
ENSG00000189283,FHIT
ENSG00000164508,HIST1H2AA
ENSG00000149735,GPHA2
ENSG00000166716,ZNF592
ENSG00000101210,EEF1A2
ENSG00000146215,CRIP3
ENSG00000107077,KDM4C
ENSG00000242574,HLA-DMB
ENSG00000147535,PPAPDC1B
ENSG00000120709,FAM53C
ENSG00000204531,POU5F1
ENSG00000158691,ZSCAN12
ENSG00000163635,ATXN7
ENSG00000204852,TCTN1
ENSG00000150625,GPM6A
ENSG00000162972,C2orf47
ENSG00000110031,LPXN
ENSG00000204574,ABCF1
ENSG00000204580,DDR1
ENSG00000232629,HLA-DQB2
ENSG00000158552,ZFAND2B
ENSG00000141564,RPTOR
ENSG00000102974,CTCF
ENSG00000204314,PRRT1
ENSG00000015413,DPEP1
ENSG00000204390,HSPA1L
ENSG00000151838,CCDC175
ENSG00000149922,TBX6
ENSG00000156395,SORCS3
ENSG00000255152,MSH5-SAPCD1
ENSG00000168772,CXXC4
ENSG00000120903,CHRNA2
ENSG00000154016,GRAP
ENSG00000178567,EPM2AIP1
ENSG00000248383,PCDHAC1
ENSG00000105928,DFNA5
ENSG00000010319,SEMA3G
ENSG00000231925,TAPBP
ENSG00000204969,PCDHA2
ENSG00000028116,VRK2
ENSG00000146938,NLGN4X
ENSG00000204315,FKBPL
ENSG00000126458,RRAS
ENSG00000160161,CILP2
ENSG00000162944,RFTN2
ENSG00000135250,SRPK2
ENSG00000120885,CLU
ENSG00000107882,SUFU
ENSG00000080644,CHRNA3
ENSG00000157911,PEX10
ENSG00000126790,L3HYPDH
ENSG00000026950,BTN3A1
ENSG00000166165,CKB
ENSG00000115896,PLCL1
ENSG00000100731,PCNX
ENSG00000204308,RNF5
ENSG00000161896,IP6K3
ENSG00000103415,HMOX2
ENSG00000122490,PQLC1
ENSG00000171953,ATPAF2
ENSG00000164588,HCN1
ENSG00000109572,CLCN3
ENSG00000250091,DNAH10OS
ENSG00000168237,GLYCTK
ENSG00000013563,DNASE1L1
ENSG00000163938,GNL3
ENSG00000227057,WDR46
ENSG00000144567,FAM134A
ENSG00000167264,DUS2
ENSG00000115541,HSPE1
ENSG00000068971,PPP2R5B
ENSG00000188803,SHISA6
ENSG00000133107,TRPC4
ENSG00000204356,NELFE
ENSG00000163113,OTUD7B
ENSG00000124575,HIST1H1D
ENSG00000050130,JKAMP
ENSG00000047346,FAM214A
ENSG00000105894,PTN
ENSG00000152219,ARL14EP
ENSG00000182511,FES
ENSG00000187145,MRPS21
ENSG00000170445,HARS
ENSG00000204220,PFDN6
ENSG00000175224,ATG13
ENSG00000239732,TLR9
ENSG00000186010,NDUFA13
ENSG00000171467,ZNF318
ENSG00000114988,LMAN2L
ENSG00000162374,ELAVL4
ENSG00000204388,HSPA1B
ENSG00000197697,HIST1H2BE
ENSG00000117362,APH1A
ENSG00000204435,CSNK2B
ENSG00000197409,HIST1H3D
ENSG00000156011,PSD3
ENSG00000175197,DDIT3
ENSG00000230778,ANKRD63
ENSG00000255408,PCDHA3
ENSG00000162426,SLC45A1
ENSG00000159208,C1orf51
ENSG00000023171,GRAMD1B
ENSG00000104626,ERI1
ENSG00000198597,ZNF536
ENSG00000115392,FANCL
ENSG00000147548,WHSC1L1
ENSG00000156735,BAG4
